"filename", "language", "Dart", "comment", "blank", "total"
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\helper\utility\injector.dart", "Dart", 3, 0, 0, 3
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\helper\utility\private_keys.dart", "Dart", -1, 0, -1, -2
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\models\box_office.dart", "Dart", -1, 0, 0, -1
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\models\box_office.g.dart", "Dart", -6, 0, 0, -6
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\models\info_with_id_api.g.dart", "Dart", -9, 0, 0, -9
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\models\most_popular_films_api.dart", "Dart", -1, 0, 0, -1
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\models\new_films_api.g.dart", "Dart", -4, 0, 0, -4
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\models\top_250_films_api.dart", "Dart", -2, 0, -2, -4
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\view_models\film\film_details.dart", "Dart", -23, 0, -6, -29
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\view_models\film\film_details\film_details.dart", "Dart", 338, 1, 107, 446
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\view_models\film\film_details\film_details.g.dart", "Dart", 300, 4, 29, 333
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\view_models\film\film_items.dart", "Dart", -51, 0, -4, -55
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\view_models\film\film_sub_details\film_sub_details.dart", "Dart", 23, 0, 5, 28
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\view_models\film\film_sub_details\film_sub_items.dart", "Dart", 51, 0, 4, 55
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\view_models\full_cast\full_cast_details.dart", "Dart", 38, 0, 11, 49
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\view_models\full_cast\full_cast_details.g.dart", "Dart", 35, 4, 5, 44
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\view_models\image\image_details.dart", "Dart", 39, 0, 15, 54
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\view_models\image\image_details.g.dart", "Dart", 30, 4, 7, 41
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\view_models\imdb_list\imdb_list_details.dart", "Dart", 0, 1, 0, 1
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\view_models\poster\poster_details.dart", "Dart", 27, 6, 10, 43
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\view_models\poster\poster_details.g.dart", "Dart", 17, 4, 5, 26
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\view_models\rating\rating_details.dart", "Dart", 42, 0, 15, 57
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\view_models\rating\rating_details.g.dart", "Dart", 27, 4, 5, 36
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\view_models\review\review_details.dart", "Dart", 0, 1, 0, 1
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\view_models\season_episode\season_episode.dart", "Dart", 0, 1, 0, 1
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\view_models\trailer\trailer_details.dart", "Dart", 48, 0, 17, 65
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\view_models\trailer\trailer_details.g.dart", "Dart", 31, 4, 5, 40
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\view_models\wikipedia\wikipedia_details.dart", "Dart", 0, 1, 0, 1
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\views\bloc\box_office\box_office_cubit.dart", "Dart", 30, 0, 3, 33
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\views\bloc\info_with_id\info_with_id_cubit.dart", "Dart", 38, 0, 5, 43
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\views\bloc\new_films\new_films.dart", "Dart", 25, 0, 1, 26
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\views\bloc\search\search_bloc.dart", "Dart", 0, 12, 3, 15
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\views\bloc\search\search_event.dart", "Dart", 0, 5, 1, 6
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\views\bloc\top_250_films\top250_films_cubit.dart", "Dart", -4, 0, 0, -4
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\views\pages\search\sub_pages\top_250_movies_page.dart", "Dart", 1, 0, 0, 1
"Total", "-", 1041, 52, 240, 1333
