"filename", "language", "JSON", "HTML", "Dart", "CMake", "C++", "Swift", "Markdown", "YAML", "XML", "Gradle", "Java Properties", "comment", "blank", "total"
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\android\gradle\wrapper\gradle-wrapper.properties", "Java Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 1, 6
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\android\settings.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 4, 12
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 123
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 2, 5
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 1, 1, 38
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 1, 1, 27
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\ios\Runner\Runner-Bridging-Header.h", "C++", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\config\routes\route_app.dart", "Dart", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 27
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\config\themes\app_theme.dart", "Dart", 0, 0, 128, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 135
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\config\themes\theme_service.dart", "Dart", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 20
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\core\functions\toast_show.dart", "Dart", 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 38
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\core\my_app.dart", "Dart", 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 58
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\core\resources\color_manager.dart", "Dart", 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 52
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\core\resources\font_manager.dart", "Dart", 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 45
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\core\resources\strings_manager.dart", "Dart", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\core\resources\styles_manager.dart", "Dart", 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 60
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\core\resources\values_manager.dart", "Dart", 0, 0, 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 72
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\core\translations\app_lang.dart", "Dart", 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 33
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\core\translations\langs\ar.dart", "Dart", 0, 0, 135, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 136
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\core\translations\langs\en.dart", "Dart", 0, 0, 140, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 143
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\core\translations\local_storage\local_storage.dart", "Dart", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\core\translations\translations.dart", "Dart", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\core\use_case\use_case.dart", "Dart", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 29
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\core\utility\app_prefs.dart", "Dart", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 20
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\core\utility\constant.dart", "Dart", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\core\utility\injector.dart", "Dart", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 14, 6, 30
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\core\widgets\multi_bloc_provider.dart", "Dart", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 10, 4, 23
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\main.dart", "Dart", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\presentation\common\widgets\basic_film_and_sub_info_in_row.dart", "Dart", 0, 0, 110, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 114
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\presentation\common\widgets\box_shadows.dart", "Dart", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 18
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\presentation\common\widgets\custom_circulars_progress.dart", "Dart", 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 48
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\presentation\common\widgets\custom_elevated_button.dart", "Dart", 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 41
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\presentation\common\widgets\custom_outlined_button.dart", "Dart", 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 33
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\presentation\common\widgets\films_main_floating_container.dart", "Dart", 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 65
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\presentation\common\widgets\floating_container.dart", "Dart", 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 32
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\presentation\common\widgets\gold_title_of_main_card.dart", "Dart", 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 59
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\presentation\common\widgets\play_icon_with_time.dart", "Dart", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 27
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\presentation\common\widgets\suggestion_filtered_container.dart", "Dart", 0, 0, 110, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 115
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\presentation\common\widgets\text_field\custom_text_field.dart", "Dart", 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 50
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\presentation\common\widgets\text_field\mobile_phone_text_field.dart", "Dart", 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 40
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\presentation\layouts\base_layout.dart", "Dart", 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 61
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\presentation\pages\film_details\film_details_page.dart", "Dart", 0, 0, 1107, 0, 0, 0, 0, 0, 0, 0, 0, 2, 77, 1186
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\presentation\pages\films_filtered\films_filtered_page.dart", "Dart", 0, 0, 83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 88
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\presentation\pages\home\home_page.dart", "Dart", 0, 0, 226, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 242
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\presentation\pages\home\widgets\actor_birth_day_card.dart", "Dart", 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 73
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\presentation\pages\home\widgets\add_to_wach_list.dart", "Dart", 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 32
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\presentation\pages\home\widgets\film_card.dart", "Dart", 0, 0, 112, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 122
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\presentation\pages\search\search_page.dart", "Dart", 0, 0, 75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 79
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\presentation\pages\video\video_page.dart", "Dart", 0, 0, 282, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 302
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\linux\CMakeLists.txt", "CMake", 0, 0, 0, 75, 0, 0, 0, 0, 0, 0, 0, 38, 26, 139
