"filename", "language", "Dart", "YAML", "comment", "blank", "total"
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\view_models\film\film_items.dart", "Dart", 51, 0, 0, 4, 55
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\view_models\in_theaters\new_film_details.dart", "Dart", 23, 0, 0, 5, 28
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\view_models\in_theaters\new_fim_items.dart", "Dart", 136, 0, 0, 13, 149
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\view_models\personal_info\personal_info_details.dart", "Dart", 123, 0, 0, 12, 135
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\view_models\youtube_trailer\youtube_trailer_details.dart", "Dart", 41, 0, 0, 4, 45
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\views\base_layouts\base_layout.dart", "Dart", 68, 0, 0, 7, 75
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\views\bloc\box_office\box_office_cubit.dart", "Dart", 5, 0, 0, 2, 7
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\views\bloc\cubit_result_state.dart", "Dart", 10, 0, 0, 6, 16
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\views\bloc\cubit_result_state.freezed.dart", "Dart", 517, 0, 24, 75, 616
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\views\bloc\info_with_id\info_with_id_cubit.dart", "Dart", 6, 0, 0, 2, 8
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\views\bloc\most_popular_films\most_popular_films_cubit.dart", "Dart", 30, 0, 0, 6, 36
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\views\bloc\new_films\new_films.dart", "Dart", 5, 0, 0, 5, 10
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\views\bloc\top_250_films\top250_films_cubit.dart", "Dart", 34, 0, 0, 5, 39
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\views\common_widgets\basic_film_and_sub_info_in_row.dart", "Dart", -7, 0, 20, -1, 12
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\views\common_widgets\custom_circulars_progress.dart", "Dart", -4, 0, 0, 0, -4
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\views\common_widgets\films_main_floating_container.dart", "Dart", 1, 0, 0, -2, -1
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\views\common_widgets\floating_container.dart", "Dart", 6, 0, 0, 0, 6
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\views\common_widgets\text_field\custom_text_field.dart", "Dart", -47, 0, 0, -3, -50
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\views\common_widgets\text_field\mobile_phone_text_field.dart", "Dart", -2, 0, 0, 0, -2
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\views\multi_bloc_provider.dart", "Dart", 32, 0, 0, 4, 36
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\views\my_app.dart", "Dart", 52, 0, 0, 5, 57
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\views\pages\film_details\film_details_page.dart", "Dart", 1107, 0, 2, 76, 1185
