"filename", "language", "C++", "JSON", "HTML", "CMake", "Dart", "Markdown", "YAML", "Gradle", "Java Properties", "XML", "Swift", "comment", "blank", "total"
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\helper\resources\styles_manager.dart", "Dart", 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 9, 60
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\helper\resources\values_manager.dart", "Dart", 0, 0, 0, 0, 65, 0, 0, 0, 0, 0, 0, 0, 7, 72
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\helper\routes\route_app.dart", "Dart", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 2, 5, 27
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\helper\themes\app_theme.dart", "Dart", 0, 0, 0, 0, 128, 0, 0, 0, 0, 0, 0, 0, 7, 135
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\helper\themes\theme_service.dart", "Dart", 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 5, 20
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\helper\translations\app_lang.dart", "Dart", 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 7, 33
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\helper\translations\langs\ar.dart", "Dart", 0, 0, 0, 0, 135, 0, 0, 0, 0, 0, 0, 0, 1, 136
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\helper\translations\langs\en.dart", "Dart", 0, 0, 0, 0, 140, 0, 0, 0, 0, 0, 0, 1, 2, 143
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\helper\translations\local_storage\local_storage.dart", "Dart", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 3, 12
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\helper\translations\translations.dart", "Dart", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 2, 9
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\helper\utility\app_prefs.dart", "Dart", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 7, 20
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\helper\utility\constant.dart", "Dart", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\helper\utility\injector.dart", "Dart", 0, 0, 0, 0, 70, 0, 0, 0, 0, 0, 0, 6, 16, 92
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\main.dart", "Dart", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 5, 4, 17
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\models\remote\box_office\box_office.dart", "Dart", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 5, 21
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\models\remote\box_office\box_office.g.dart", "Dart", 0, 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 5, 10, 83
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\models\remote\different_calls_from\different_calls_from_api.dart", "Dart", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 4, 18
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\models\remote\different_calls_from\different_calls_from_api.g.dart", "Dart", 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 5, 9, 62
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\models\remote\film_info\film_info_api.dart", "Dart", 0, 0, 0, 0, 65, 0, 0, 0, 0, 0, 0, 3, 18, 86
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\models\remote\film_info\film_info_api.g.dart", "Dart", 0, 0, 0, 0, 374, 0, 0, 0, 0, 0, 0, 5, 22, 401
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\models\remote\most_popular_films\most_popular_films_api.dart", "Dart", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 5, 21
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\models\remote\most_popular_films\most_popular_films_api.g.dart", "Dart", 0, 0, 0, 0, 67, 0, 0, 0, 0, 0, 0, 5, 10, 82
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\models\remote\new_films\new_films_api.dart", "Dart", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 5, 19
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\models\remote\new_films\new_films_api.g.dart", "Dart", 0, 0, 0, 0, 67, 0, 0, 0, 0, 0, 0, 5, 10, 82
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\models\remote\personal_info\personal_info_api.dart", "Dart", 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 4, 21
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\models\remote\personal_info\personal_info_api.g.dart", "Dart", 0, 0, 0, 0, 73, 0, 0, 0, 0, 0, 0, 5, 10, 88
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\models\remote\top_250_films\top_250_films_api.dart", "Dart", 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 5, 20
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\models\remote\top_250_films\top_250_films_api.g.dart", "Dart", 0, 0, 0, 0, 67, 0, 0, 0, 0, 0, 0, 5, 10, 82
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\repositories\box_office_repo.dart", "Dart", 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 4, 30
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\repositories\info_with_id_repo.dart", "Dart", 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 6, 43
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\repositories\most_popular_films_repo.dart", "Dart", 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 4, 30
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\repositories\new_films_repo.dart", "Dart", 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 4, 28
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\repositories\top_250_films_repo.dart", "Dart", 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 4, 29
